Libertex platform

Рахунок:	9990001122	Ім’я:	DEMO TRADER	Валюта:	USD	Дата звіту:	02.09.2026 9:53:19

Інструмент	Номер угоди	Напрямок	Дата відкриття	Ціна відкриття	Дата закриття	Ціна закриття	Сума ($)	Коефіцієнт	Результат ($)	Прибуток ($)
EUR/USD	EURUSD-144189148	Продати	1/9/2026 18:50	1.15885	2/9/2026 7:06	1.15665	30	x55	33.01	3.01
USD/CHF	USDCHF-144178635	Купити	1/9/2026 15:02	0.81194	2/9/2026 7:05	0.81362	20	x50	22	2
USD/PLN	USDPLN-144189661	Купити	1/9/2026 18:57	3.74172	2/9/2026 7:04	3.7504	20	x50	22.01	2.01
EUR/USD	EURUSD-144189085	Продати	1/9/2026 18:49	1.1588	2/9/2026 6:53	1.15706	20	x70	22	2
EUR/USD	EURUSD-144165128	Продати	1/9/2026 10:44	1.15906	2/9/2026 6:50	1.15732	20	x70	22	2
GBP/JPY	GBPJPY-144117952	Продати	31/8/2026 10:47	216.224	2/9/2026 6:01	215.731	30	x50	33	3
AUD/USD	AUDUSD-144189569	Продати	1/9/2026 18:56	0.71463	2/9/2026 4:28	0.71332	30	x60	33.14	3.14
AUD/USD	AUDUSD-144189514	Продати	1/9/2026 18:55	0.71463	2/9/2026 4:06	0.71354	20	x70	22.01	2.01
NZD/USD	NZDUSD-144189244	Продати	1/9/2026 18:51	0.5891	2/9/2026 2:00	0.58794	30	x55	33.08	3.08
NZD/USD	NZDUSD-144189372	Продати	1/9/2026 18:54	0.5891	2/9/2026 2:00	0.588	20	x70	22.47	2.47
Natural Gas Cash	NGASCash-144140415	Купити	31/8/2026 16:47	2.923	2/9/2026 0:06	2.95	30	x12	33.11	3.11
Natural Gas Cash	NGASCash-144140287	Купити	31/8/2026 16:44	2.926	2/9/2026 0:05	2.948	30	x15	33.11	3.11
Natural Gas Cash	NGASCash-144140472	Купити	31/8/2026 16:51	2.918	2/9/2026 0:04	2.946	20	x12	22.16	2.16
Natural Gas Cash	NGASCash-144135702	Купити	31/8/2026 15:10	2.901	1/9/2026 22:45	2.939	100	x8	110	10
Natural Gas Cash	NGASCash-144122738	Купити	31/8/2026 11:32	2.908	1/9/2026 22:45	2.939	30	x10	33.02	3.02
Natural Gas Cash	NGASCash-144136168	Купити	31/8/2026 15:16	2.909	1/9/2026 19:31	2.935	30	x12	33.1	3.1
Natural Gas Cash	NGASCash-144175403	Купити	1/9/2026 14:04	2.858	1/9/2026 17:42	2.894	30	x8	33.01	3.01
GBP/USD	GBPUSD-144165186	Продати	1/9/2026 10:45	1.35354	1/9/2026 16:58	1.35151	20	x70	22	2
USD/CHF	USDCHF-144163716	Купити	1/9/2026 10:19	0.80992	1/9/2026 14:50	0.8116	20	x50	22	2
USD/PLN	USDPLN-144163459	Купити	1/9/2026 10:15	3.73861	1/9/2026 10:15	3.73822	30	x40	29.79	-0.21
AUD/CAD	AUDCAD-144144207	Продати	31/8/2026 19:07	0.99259	1/9/2026 9:18	0.99047	50	x50	55.11	5.11
AUD/USD	AUDUSD-144120302	Продати	31/8/2026 10:39	0.71584	1/9/2026 8:43	0.71458	30	x60	33.01	3.01
AUD/CAD	AUDCAD-144136818	Продати	31/8/2026 15:31	0.99311	31/8/2026 19:02	0.99266	50	x50	50.95	0.95

Обсяг:	710	775.09	65.09

Вкажіть чітко - скористайтеся опцією Excel "Текст у стовпчику".
